Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,1.062500,1.089286,1.040179,1.062500,0.705760,113078000
2001-01-03,1.035714,1.191964,1.031250,1.169643,0.776929,204268400
2001-01-04,1.295757,1.321429,1.200893,1.218750,0.809549,184849000
2001-01-05,1.209821,1.241071,1.147321,1.169643,0.776929,103089000
2001-01-08,1.209821,1.213164,1.138393,1.183036,0.785826,93424800
2001-01-09,1.200893,1.260043,1.183036,1.227679,0.815479,147232400
2001-01-10,1.191964,1.214286,1.147321,1.183036,0.785826,145195400
2001-01-11,1.160714,1.321429,1.160714,1.285714,0.854029,200933600
2001-01-12,1.276786,1.285714,1.218750,1.227679,0.815479,105844200
2001-01-16,1.245536,1.303571,1.214286,1.223214,0.812514,76529600
2001-01-17,1.254464,1.254464,1.178571,1.200893,0.797687,210218400
2001-01-18,1.272321,1.339286,1.258929,1.334821,0.886649,306752600
2001-01-19,1.388393,1.397321,1.334821,1.392857,0.925198,194166000
2001-01-22,1.361607,1.401786,1.316964,1.375000,0.913337,129831800
2001-01-23,1.379464,1.495536,1.361607,1.464286,0.972644,219882600
2001-01-24,1.473214,1.477679,1.397321,1.464286,0.972644,179272800
2001-01-25,1.468750,1.468750,1.410714,1.424107,0.945956,122427200
2001-01-26,1.392857,1.415179,1.361607,1.397321,0.928164,120705200
2001-01-29,1.397321,1.553571,1.397321,1.549107,1.028987,213882200
2001-01-30,1.540179,1.571429,1.491071,1.553571,1.031952,173105800
2001-01-31,1.535714,1.607143,1.531250,1.544643,1.026022,182676200
2001-02-01,1.477679,1.535714,1.464286,1.508929,1.002298,92423800
2001-02-02,1.508929,1.566964,1.464286,1.473214,0.978575,106835400
2001-02-05,1.464286,1.468750,1.410714,1.441964,0.957818,71528800
2001-02-06,1.439729,1.527900,1.428571,1.508929,1.002298,115677800
2001-02-07,1.475443,1.491071,1.415179,1.482143,0.984506,98471800
2001-02-08,1.468750,1.504464,1.441964,1.482143,0.984506,151032000
2001-02-09,1.464286,1.486607,1.334821,1.366071,0.907406,147520800
2001-02-12,1.361607,1.428571,1.343750,1.406250,0.934094,68530000
2001-02-13,1.424107,1.459821,1.357143,1.366071,0.907406,59267600
2001-02-14,1.370536,1.401786,1.321429,1.392857,0.925198,77280000
2001-02-15,1.406250,1.468750,1.406250,1.433036,0.951887,77854000
2001-02-16,1.357143,1.392857,1.339286,1.357143,0.901475,65977800
2001-02-20,1.370536,1.388393,1.299107,1.308036,0.868856,78723400
2001-02-21,1.303571,1.424107,1.303571,1.348214,0.895545,97564600
2001-02-22,1.361607,1.383929,1.285714,1.343750,0.892579,107990400
2001-02-23,1.330357,1.348214,1.303571,1.343750,0.892579,73466400
2001-02-26,1.361607,1.406250,1.325893,1.392857,0.925198,51609600
2001-02-27,1.377229,1.388393,1.334821,1.383929,0.919268,87129000
2001-02-28,1.383929,1.388393,1.294643,1.303571,0.865891,127058400
2001-03-01,1.272321,1.339286,1.227679,1.339286,0.889614,82615400
2001-03-02,1.308036,1.459821,1.303571,1.375000,0.913337,101550400
2001-03-05,1.383929,1.464286,1.375000,1.455357,0.966714,81043200
2001-03-06,1.479907,1.575893,1.477679,1.535714,1.020091,182950600
2001-03-07,1.522321,1.544643,1.482143,1.517857,1.008229,104885200
2001-03-08,1.477679,1.508929,1.459821,1.486607,0.987471,51214800
2001-03-09,1.473214,1.477679,1.428571,1.446429,0.960783,74783800
2001-03-12,1.406250,1.419643,1.294643,1.330357,0.883683,97755000
2001-03-13,1.348214,1.397321,1.299107,1.397321,0.928164,110832400
2001-03-14,1.321429,1.464286,1.316964,1.459821,0.969679,119443800
2001-03-15,1.491071,1.526786,1.406250,1.406250,0.934094,132329400
2001-03-16,1.357143,1.450893,1.348214,1.401786,0.931129,117579000
2001-03-19,1.410714,1.473214,1.392857,1.468750,0.975610,89002200
2001-03-20,1.479907,1.495536,1.406250,1.406250,0.934094,124801600
2001-03-21,1.412943,1.491071,1.383929,1.437500,0.954852,92843800
2001-03-22,1.455357,1.553571,1.441964,1.544643,1.026022,180825400
2001-03-23,1.575893,1.683036,1.571429,1.642857,1.091259,236222000
2001-03-26,1.652143,1.696429,1.509286,1.555714,1.033376,183612800
2001-03-27,1.567143,1.646429,1.564286,1.633571,1.085091,135955400
2001-03-28,1.577143,1.607143,1.535714,1.583571,1.051879,146165600
2001-03-29,1.555000,1.675000,1.535714,1.609286,1.068960,153266400
2001-03-30,1.610714,1.622857,1.524286,1.576429,1.047135,100087400
2001-04-02,1.577857,1.618571,1.528571,1.542143,1.024361,85227800
2001-04-03,1.525714,1.528571,1.437857,1.445714,0.960308,92171800
2001-04-04,1.411429,1.446429,1.339286,1.392857,0.925198,171371200
2001-04-05,1.471429,1.607143,1.428571,1.490714,0.990200,111690600
2001-04-06,1.485714,1.502857,1.421429,1.470714,0.976915,81222400
2001-04-09,1.477857,1.524286,1.432857,1.467143,0.974542,66645600
2001-04-10,1.492857,1.621429,1.484286,1.574286,1.045711,114343600
2001-04-11,1.641429,1.642857,1.520000,1.557143,1.034325,83524000
2001-04-12,1.530000,1.644286,1.510714,1.601429,1.063741,74733400
2001-04-16,1.577857,1.600000,1.490000,1.531429,1.017244,71306200
2001-04-17,1.514286,1.515000,1.400000,1.457143,0.967900,171299800
2001-04-18,1.540714,1.720000,1.505714,1.627857,1.081296,275210600
2001-04-19,1.825000,1.839286,1.685714,1.837143,1.220313,468417600
2001-04-20,1.780714,1.830714,1.757143,1.788571,1.188050,173350800
2001-04-23,1.738571,1.785714,1.714286,1.732143,1.150567,135381400
2001-04-24,1.737857,1.767857,1.679286,1.716429,1.140129,94284400
2001-04-25,1.729286,1.775714,1.683571,1.765714,1.172867,82695200
2001-04-26,1.797857,1.864286,1.762857,1.763571,1.171443,199924200
2001-04-27,1.800000,1.877857,1.767857,1.871429,1.243087,113253000
2001-04-30,1.907143,1.937143,1.776429,1.820714,1.209401,123694200
2001-05-01,1.815000,1.892857,1.800000,1.852143,1.230277,106813000
2001-05-02,1.881429,1.907143,1.840000,1.899286,1.261591,92131200
2001-05-03,1.855000,1.875000,1.766429,1.782857,1.184254,75385800
2001-05-04,1.731429,1.846429,1.711429,1.839286,1.221736,70263200
2001-05-07,1.830000,1.840000,1.774286,1.782857,1.184254,69137600
2001-05-08,1.810714,1.817857,1.710714,1.755000,1.165750,78859200
2001-05-09,1.724286,1.753571,1.690714,1.712857,1.137757,81222400
2001-05-10,1.729286,1.750000,1.639286,1.642857,1.091259,72244200
2001-05-11,1.643571,1.677857,1.625714,1.632143,1.084143,50761200
2001-05-14,1.635000,1.691429,1.625000,1.663571,1.105019,77305200
2001-05-15,1.669286,1.821429,1.645714,1.655714,1.099800,59256400
2001-05-16,1.661429,1.750000,1.632143,1.721429,1.143450,80582600
2001-05-17,1.730714,1.737857,1.660714,1.682143,1.117355,83029800
2001-05-18,1.668571,1.688571,1.651429,1.680714,1.116406,39762800
2001-05-21,1.687857,1.707857,1.646429,1.682857,1.117830,115249400
2001-05-22,1.714286,1.723571,1.671429,1.678571,1.114983,103229000
2001-05-23,1.696429,1.696429,1.632857,1.659286,1.102172,70260400
2001-05-24,1.663571,1.664286,1.615714,1.657143,1.100749,67939200
2001-05-25,1.657143,1.663571,1.607143,1.625714,1.079873,39685800
2001-05-29,1.594286,1.607143,1.486429,1.533571,1.018667,128997400
2001-05-30,1.482857,1.482857,1.378571,1.412857,0.938483,194269600
2001-05-31,1.414286,1.445714,1.392143,1.425000,0.946549,110723200
2001-06-01,1.437857,1.506429,1.427143,1.492143,0.991148,114018800
2001-06-04,1.505714,1.507857,1.461429,1.475714,0.980236,70480200
2001-06-05,1.485714,1.507143,1.453571,1.495714,0.993521,117948600
2001-06-06,1.495000,1.495000,1.452143,1.480714,0.983557,55794200
2001-06-07,1.479286,1.550000,1.460714,1.547143,1.027682,81295200
2001-06-08,1.546429,1.546429,1.479286,1.522857,1.011550,85656200
2001-06-11,1.503571,1.505000,1.425000,1.431429,0.950819,73500000
2001-06-12,1.412143,1.477857,1.411429,1.450714,0.963629,75948600
2001-06-13,1.530000,1.552143,1.432857,1.462143,0.971221,127871800
2001-06-14,1.431429,1.460714,1.412143,1.420000,0.943228,74337200
2001-06-15,1.435714,1.482143,1.382143,1.460000,0.969798,113656200
2001-06-18,1.457857,1.489286,1.428571,1.452143,0.964579,86478000
2001-06-19,1.489286,1.528571,1.429286,1.442143,0.957936,80271800
2001-06-20,1.428571,1.560714,1.427143,1.547857,1.028156,107905000
2001-06-21,1.539286,1.642857,1.507143,1.606429,1.067062,85332800
2001-06-22,1.605714,1.642857,1.554286,1.590000,1.056150,71506400
2001-06-25,1.607143,1.714286,1.603571,1.713571,1.138231,109887400
2001-06-26,1.667143,1.697857,1.643571,1.696429,1.126844,68195400
2001-06-27,1.702143,1.714286,1.607143,1.667143,1.107392,93532600
2001-06-28,1.646429,1.707857,1.638571,1.681429,1.116880,87102400
2001-06-29,1.690000,1.792857,1.657143,1.660714,1.103121,128847600
2001-07-02,1.688571,1.730714,1.652857,1.707143,1.133961,57512000
2001-07-03,1.679286,1.727143,1.678571,1.702857,1.131115,28135800
2001-07-05,1.685714,1.697857,1.643571,1.656429,1.100275,38073000
2001-07-06,1.625714,1.640000,1.551429,1.573571,1.045237,75730200
2001-07-09,1.577857,1.642857,1.548571,1.621429,1.077026,84366800
2001-07-10,1.639286,1.647857,1.488571,1.510000,1.003010,98817600
2001-07-11,1.502143,1.610714,1.500000,1.610000,1.069435,117626600
2001-07-12,1.664286,1.772143,1.664286,1.740000,1.155786,153700400
2001-07-13,1.723571,1.786429,1.702857,1.775000,1.179035,113685600
2001-07-16,1.777143,1.792857,1.707857,1.711429,1.136808,69666800
2001-07-17,1.712857,1.801429,1.643571,1.792857,1.190897,161957600
2001-07-18,1.555714,1.627143,1.458571,1.485000,0.986404,284253200
2001-07-19,1.516429,1.530000,1.410714,1.425714,0.947023,215285000
2001-07-20,1.407143,1.432857,1.392143,1.427143,0.947973,111146000
